id;name;description;domain_of_activity;technologies;contact;address;observations;presentation;presentation_content_type
1;Isle;Fantastic;connecting Personal Loan Account;payment Montserrat;backing up Rue;bypass withdrawal;Frozen;../fake-data/blob/hipster.png;image/png
2;monitor teal Auto Loan Account;Handcrafted Executive matrix;content optical;Integrated;Research Small Corporate;enable;Steel Configuration Designer;../fake-data/blob/hipster.png;image/png
3;system engine Australian Dollar;Wyoming invoice;card XML;Refined Fresh Towels Chilean Peso Unidades de fomento withdrawal;Handcrafted;Philippines;standardization tan deposit;../fake-data/blob/hipster.png;image/png
4;China;District French Southern Territories;middleware next-generation;viral;platforms Grass-roots;HTTP;Central generating strategize;../fake-data/blob/hipster.png;image/png
5;plum application;protocol;leverage copying architectures;THX generating Borders;composite;Granite;quantify;../fake-data/blob/hipster.png;image/png
6;morph;Gorgeous California;Refined Cotton Sausages Solomon Islands Dollar;Grass-roots;monitor Montserrat Seamless;withdrawal structure;payment Central;../fake-data/blob/hipster.png;image/png
7;internet solution;Cambridgeshire Customizable;bricks-and-clicks dynamic;indexing optical Rubber;Russian Ruble bypassing transitional;regional Response;Isle bricks-and-clicks;../fake-data/blob/hipster.png;image/png
8;Keyboard Executive;target communities Toys;Intelligent Granite Hat;product harness Health;Pa'anga;Mississippi;programming;../fake-data/blob/hipster.png;image/png
9;Polarised Corporate;local area network GB Investment Account;primary quantifying;Small Soft Pizza Dale;utilize;Pa'anga Electronics Chips;Handmade Granite Computer Associate;../fake-data/blob/hipster.png;image/png
10;cross-platform;Generic withdrawal;calculate;generating Savings Account;Internal capability;Markets purple;red Gabon Focused;../fake-data/blob/hipster.png;image/png
